# packages in environment at /Users/romulo/miniconda3/envs/anaconda-mcp-dev:
#
# Name                                      Version                     Build                 Channel
anaconda-auth                               0.9.1                       pypi_0                pypi
anaconda-cli-base                           0.8.1                       pyhcf101f3_0          conda-forge
anaconda-connector-conda                    0.1.8                       pypy_0                anaconda-cloud/label/dev
anaconda-connector-core                     0.1.8                       pypy_0                anaconda-cloud/label/dev
anaconda-connector-utilities                0.1.8                       pypy_0                anaconda-cloud/label/dev
anaconda-mcp                                1.0.0rc3.dev127+g2f7c44fa2  pypi_0                pypi
anaconda-opentelemetry                      1.0.1                       py313hca03da5_0
annotated-doc                               0.0.4                       pyhcf101f3_0          conda-forge
annotated-types                             0.7.0                       pyhd8ed1ab_1          conda-forge
anyio                                       4.12.1                      pyhcf101f3_0          conda-forge
archspec                                    0.2.5                       pyhd8ed1ab_0          conda-forge
async-timeout                               5.0.1                       pyhcf101f3_2          conda-forge
attrs                                       25.4.0                      pyhcf101f3_1          conda-forge
authlib                                     1.6.8                       pyhd8ed1ab_0          conda-forge
backoff                                     2.2.1                       pyhd8ed1ab_1          conda-forge
backports                                   1.0                         pyhd8ed1ab_5          conda-forge
backports-datetime-fromisoformat            2.0.3                       py313h8f79df9_1       conda-forge
backports.asyncio.runner                    1.2.0                       pyh5ded981_2          conda-forge
backports.tarfile                           1.2.0                       pyhcf101f3_2          conda-forge
backports.zstd                              1.3.0                       py313h48bb75e_0       conda-forge
beartype                                    0.22.9                      pyhd8ed1ab_0          conda-forge
boltons                                     25.0.0                      pyhd8ed1ab_0          conda-forge
brotli-python                               1.2.0                       py313hde1f3bb_1       conda-forge
bzip2                                       1.0.8                       hd037594_9            conda-forge
c-ares                                      1.34.6                      hc919400_0            conda-forge
ca-certificates                             2026.1.4                    hbd8a1cb_0            conda-forge
cachetools                                  7.0.1                       pyhd8ed1ab_0          conda-forge
certifi                                     2026.1.4                    pyhd8ed1ab_0          conda-forge
cffi                                        2.0.0                       py313h224173a_1       conda-forge
cfgv                                        3.5.0                       pyhd8ed1ab_0          conda-forge
charset-normalizer                          3.4.4                       pyhd8ed1ab_0          conda-forge
click                                       8.3.1                       pyh8f84b5b_1          conda-forge
cloudpickle                                 3.1.2                       pyhcf101f3_1          conda-forge
colorama                                    0.4.6                       pyhd8ed1ab_1          conda-forge
conda                                       25.11.1                     py313h8f79df9_0       conda-forge
conda-libmamba-solver                       25.11.0                     pyhd8ed1ab_1          conda-forge
conda-package-handling                      2.4.0                       pyh7900ff3_2          conda-forge
conda-package-streaming                     0.12.0                      pyhd8ed1ab_0          conda-forge
coverage                                    7.13.4                      py313h65a2061_0       conda-forge
cpp-expected                                1.3.1                       h4f10f1e_0            conda-forge
cryptography                                46.0.5                      py313he3f6fad_0       conda-forge
cyclopts                                    4.5.2                       pyhcf101f3_0          conda-forge
deprecated                                  1.3.1                       pyhd8ed1ab_1          conda-forge
diskcache                                   5.6.3                       pyhd8ed1ab_1          conda-forge
distlib                                     0.4.0                       pyhd8ed1ab_0          conda-forge
distro                                      1.9.0                       pyhd8ed1ab_1          conda-forge
dnspython                                   2.8.0                       pyhcf101f3_0          conda-forge
docstring_parser                            0.17.0                      pyhd8ed1ab_0          conda-forge
docutils                                    0.22.4                      pyhd8ed1ab_0          conda-forge
email-validator                             2.3.0                       pyhd8ed1ab_0          conda-forge
email_validator                             2.3.0                       hd8ed1ab_0            conda-forge
environments-mcp-server                     0.12.0                      py_0                  anaconda-cloud/label/dev
environs                                    11.2.1                      pyhd8ed1ab_1          conda-forge
exceptiongroup                              1.3.1                       pyhd8ed1ab_0          conda-forge
fakeredis                                   2.34.0                      pyhcf101f3_0          conda-forge
fastapi                                     0.129.0                     hccfc660_0            conda-forge
fastapi-cli                                 0.0.23                      pyhcf101f3_0          conda-forge
fastapi-core                                0.129.0                     pyhcf101f3_0          conda-forge
fastmcp                                     2.14.3                      pyhcf101f3_0          conda-forge
filelock                                    3.24.2                      pyhd8ed1ab_0          conda-forge
fmt                                         12.1.0                      h403dcb5_0            conda-forge
frozendict                                  2.4.7                       py313h6535dbc_0       conda-forge
googleapis-common-protos                    1.72.0                      pyhd8ed1ab_0          conda-forge
grpcio                                      1.78.0                      py313hfa4fce0_1       conda-forge
h11                                         0.16.0                      pyhcf101f3_1          conda-forge
h2                                          4.3.0                       pyhcf101f3_0          conda-forge
hpack                                       4.1.0                       pyhd8ed1ab_0          conda-forge
httpcore                                    1.0.9                       pyh29332c3_0          conda-forge
httptools                                   0.7.1                       py313h6535dbc_1       conda-forge
httpx                                       0.28.1                      pyhd8ed1ab_0          conda-forge
httpx-sse                                   0.4.3                       pyhd8ed1ab_0          conda-forge
hyperframe                                  6.1.0                       pyhd8ed1ab_0          conda-forge
icu                                         78.2                        h38cb7af_0            conda-forge
identify                                    2.6.16                      pyhd8ed1ab_0          conda-forge
idna                                        3.11                        pyhd8ed1ab_0          conda-forge
importlib-metadata                          8.7.0                       pyhe01879c_1          conda-forge
importlib_resources                         6.5.2                       pyhd8ed1ab_0          conda-forge
iniconfig                                   2.3.0                       pyhd8ed1ab_0          conda-forge
jaraco.classes                              3.4.0                       pyhcf101f3_3          conda-forge
jaraco.context                              6.1.0                       pyhcf101f3_0          conda-forge
jaraco.functools                            4.4.0                       pyhcf101f3_1          conda-forge
jinja2                                      3.1.6                       pyhcf101f3_1          conda-forge
jsonpatch                                   1.33                        pyhd8ed1ab_1          conda-forge
jsonpointer                                 3.0.0                       pyhcf101f3_3          conda-forge
jsonschema                                  4.26.0                      pyhcf101f3_0          conda-forge
jsonschema-path                             0.3.4                       pyh29332c3_0          conda-forge
jsonschema-specifications                   2025.9.1                    pyhcf101f3_0          conda-forge
keyring                                     25.7.0                      pyh534df25_0          conda-forge
